"","Parameter","GJAM","GJAM2","PY1","PY2","r","iter","burn","formula"
"1","DIC",9.033,9.199,9.032,8.999,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"2","mean AUC",0.595,0.601,0.605,0.599,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"3","mean Tjur",0.029,0.031,0.032,0.029,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"4","mean p_N",0,0,0.013,0.013,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"5","VI dist",4.039,3.682,3.746,3.634,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"6","AR dist",0.047,0.08,0.074,0.079,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"7","mean K",28.626,17.444,15.094,20.261,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"8",NA,NA,NA,NA,NA,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"9",NA,NA,NA,NA,NA,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"10",NA,NA,NA,NA,NA,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
