"","Parameter","GJAM","GJAM2","PY1","PY2","r","iter","burn","formula"
"1","DIC",9.033,9.199,9.032,8.999,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"2","mean AUC",0.609,0.618,0.605,0.605,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"3","mean Tjur",0.041,0.046,0.04,0.041,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"4","mean p_N",0,0,0.023,0.31,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"5","VI dist",4.039,3.682,3.746,3.634,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"6","AR dist",0.047,0.08,0.074,0.079,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"7","mean K",24.774,19.449,19.028,23.04,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"8",NA,NA,NA,NA,NA,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"9",NA,NA,NA,NA,NA,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
"10",NA,NA,NA,NA,NA,5,10000,5000,"~PC1 + PC2 + I(PC1^2) + I(PC2^2)"
