"","S","K","sigma","alpha","pN_mean","pN_25","median","pN_75"
"1",100,4,0.1,0.41,0.111,0,0.002,0.02
"2",100,10,0.1,1.9,0.032,0.001,0.006,0.022
"3",100,20,0.1,5.74,0.013,0.002,0.005,0.016
"4",100,40,0.1,20.32,0.006,0.001,0.003,0.007
"5",100,80,0.1,0,4.043,0,0,0.044
"6",500,4,0.1,0.23,0.507,0,0.003,0.054
"7",500,10,0.1,1.07,0.051,0.001,0.006,0.033
"8",500,20,0.1,2.83,0.021,0.001,0.006,0.02
"9",500,40,0.1,7.5,0.011,0.002,0.005,0.012
"10",500,80,0.1,20.95,0.005,0.001,0.003,0.007
"11",1000,4,0.1,0.19,0.665,0,0.001,0.041
"12",1000,10,0.1,0.88,0.07,0,0.004,0.024
"13",1000,20,0.1,2.28,0.025,0.001,0.005,0.023
"14",1000,40,0.1,5.82,0.012,0.002,0.006,0.015
"15",1000,80,0.1,15.19,0.007,0.001,0.004,0.009
"16",100,4,0.2,0.17,2.563,0.009,0.144,1.346
"17",100,10,0.2,1.29,0.584,0.035,0.149,0.539
"18",100,20,0.2,4.33,0.341,0.051,0.165,0.419
"19",100,40,0.2,16.52,0.137,0.028,0.079,0.185
"20",100,80,0.2,0,2.376,0,0.024,0.505
"21",500,4,0.2,0.02,3.274,0.001,0.04,0.751
"22",500,10,0.2,0.57,1.184,0.026,0.177,0.832
"23",500,20,0.2,1.79,0.578,0.049,0.202,0.658
"24",500,40,0.2,5.21,0.303,0.054,0.161,0.377
"25",500,80,0.2,15.66,0.168,0.029,0.086,0.227
"26",1000,4,0.2,0,3.346,0,0.02,0.559
"27",1000,10,0.2,0.41,1.397,0.016,0.135,0.765
"28",1000,20,0.2,1.33,0.705,0.047,0.195,0.688
"29",1000,40,0.2,3.77,0.345,0.042,0.159,0.422
"30",1000,80,0.2,10.63,0.194,0.036,0.098,0.252
"31",100,4,0.25,0.06,3.598,0.006,0.135,1.288
"32",100,10,0.25,1,1.291,0.084,0.325,1.223
"33",100,20,0.25,3.66,0.618,0.079,0.275,0.7
"34",100,40,0.25,14.68,0.246,0.041,0.139,0.324
"35",100,80,0.25,0,3.017,0.003,0.08,0.875
"36",500,4,0.25,0,2.982,0.002,0.065,1.116
"37",500,10,0.25,0.36,2.126,0.032,0.271,1.465
"38",500,20,0.25,1.34,1.037,0.069,0.306,1.036
"39",500,40,0.25,4.19,0.527,0.09,0.25,0.65
"40",500,80,0.25,13.21,0.274,0.052,0.146,0.361
"41",1000,4,0.25,0,4.048,0.003,0.079,1.035
"42",1000,10,0.25,0.22,2.775,0.025,0.316,1.661
"43",1000,20,0.25,0.93,0.99,0.05,0.247,0.925
"44",1000,40,0.25,2.89,0.74,0.092,0.315,0.941
"45",1000,80,0.25,8.59,0.367,0.065,0.196,0.499
"46",100,4,0.3,0,3.036,0.006,0.128,1.232
"47",100,10,0.3,0.74,1.471,0.075,0.373,1.407
"48",100,20,0.3,3.03,0.797,0.087,0.336,0.942
"49",100,40,0.3,12.88,0.32,0.056,0.174,0.422
"50",100,80,0.3,0,3.199,0.006,0.111,1.154
"51",500,4,0.3,0,2.533,0.007,0.144,1.465
"52",500,10,0.3,0.17,2.557,0.017,0.245,1.523
"53",500,20,0.3,0.94,1.327,0.08,0.338,1.205
"54",500,40,0.3,3.25,0.735,0.088,0.321,0.877
"55",500,80,0.3,10.9,0.346,0.061,0.179,0.439
"56",1000,4,0.3,0,3.646,0.006,0.122,1.244
"57",1000,10,0.3,0.05,2.39,0.011,0.17,1.299
"58",1000,20,0.3,0.59,1.857,0.076,0.392,1.776
"59",1000,40,0.3,2.11,0.917,0.088,0.336,1.01
"60",1000,80,0.3,6.74,0.532,0.076,0.275,0.716
"61",100,4,0.4,0,1.864,0.017,0.149,1.228
"62",100,10,0.4,0.28,1.374,0.035,0.24,1.093
"63",100,20,0.4,1.88,0.865,0.082,0.303,0.95
"64",100,40,0.4,9.42,0.355,0.042,0.166,0.457
"65",100,80,0.4,99.46,0.057,0.008,0.031,0.077
"66",500,4,0.4,0,1.784,0.016,0.185,1.216
"67",500,10,0.4,0,1.871,0.018,0.186,1.22
"68",500,20,0.4,0.3,1.373,0.044,0.274,1.175
"69",500,40,0.4,1.69,0.835,0.073,0.298,0.886
"70",500,80,0.4,6.79,0.442,0.054,0.189,0.548
"71",1000,4,0.4,0,2.082,0.015,0.172,1.118
"72",1000,10,0.4,0,1.733,0.017,0.169,1.141
"73",1000,20,0.4,0.07,1.579,0.015,0.144,1.025
"74",1000,40,0.4,0.89,1.003,0.08,0.345,1.038
"75",1000,80,0.4,3.65,0.615,0.077,0.262,0.786
"76",100,4,0.5,0,0.662,0.011,0.082,0.517
"77",100,10,0.5,0,0.54,0.008,0.064,0.383
"78",100,20,0.5,0.91,0.497,0.028,0.157,0.535
"79",100,40,0.5,6.24,0.203,0.019,0.084,0.258
"80",100,80,0.5,78.75,0.035,0.004,0.016,0.046
"81",500,4,0.5,0,0.607,0.012,0.091,0.487
"82",500,10,0.5,0,0.642,0.009,0.079,0.449
"83",500,20,0.5,0,0.584,0.011,0.092,0.459
"84",500,40,0.5,0.56,0.513,0.024,0.144,0.527
"85",500,80,0.5,3.5,0.308,0.023,0.108,0.344
"86",1000,4,0.5,0,0.576,0.012,0.081,0.443
"87",1000,10,0.5,0,0.608,0.012,0.103,0.513
"88",1000,20,0.5,0,0.617,0.008,0.069,0.429
"89",1000,40,0.5,0.1,0.574,0.015,0.111,0.464
"90",1000,80,0.5,1.45,0.398,0.025,0.145,0.461
